5	1423
48	581
9	1613
9	1653
15	952
9	511
30	351
21	220
80	360
23	331
32	1102
64	460
32	51
48	110
48	330
48	70
544	561
48	91
64	100
32	100
80	70
16	60
13	871
13	311
128	661
13	441
14	431
64	140
32	150
16	231
16	621
16	70
17	561
64	90
32	71
13	40
13	80
22	191
22	60
15	41
15	481
256	71
31	130
31	110
31	111
32	110
64	60
32	71
26	80
26	61
26	110
27	70
64	60
32	60
31	50
31	50
22	50
22	100
512	140
6	70
6	201
6	130
7	140
64	180
32	100
72	140
16	60
9	40
9	70
9	100
10	80
64	60
32	60
144	111
72	130
16	70
192	80
18	40
18	60
25	100
25	220
11	70
11	140
13	51
13	411
8	191
8	240
20	80
20	80
1024	261
20	280
20	421
7	80
7	431
7	161
8	80
64	300
32	70
40	431
72	120
16	110
192	521
19	181
19	130
16	932
6	201
3	391
288	612
64	150
19	220
19	201
96	110
24	451
32	742
64	240
24	601
7	430
120	250
40	220
19	210
32	80
1152	371
64	110
24	70
160	140
64	271
32	150
8	70
104	150
64	391
32	180
80	191
16	361
72	320
72	71
16	361
40	70
64	130
32	110
64	140
16	110
64	271
32	110
18	180
7	280
8	441
72	992
56	311
88	241
40	70
24	60
24	70
13	111
14	281
48	190
48	110
48	80
16	70
96	491
64	581
120	271
16	240
224	221
64	150
56	100
40	110
160	140
32	71
64	160
48	91
24	100
48	120
512	1132
24	170
56	150
24	361
32	100
128	70
9	451
12	451
1	110
9	101
64	150
32	161
24	90
72	250
16	120
40	170
24	110
11	932
12	431
64	12453
32	150
64	491
16	190
104	100
8	60
80	70
32	160
32	100
64	91
32	100
32	1122
40	561
64	130
32	111
32	120
40	100
4	81
400	211
64	140
32	100
32	101
72	80
16	60
40	71
64	60
32	70
64	70
32	161
24	140
72	101
16	100
40	110
64	60
32	60
64	60
32	60
24	60
72	140
16	130
40	141
64	90
32	120
64	90
32	110
24	110
72	161
16	80
40	171
64	171
32	151
64	111
32	101
24	100
72	120
16	90
40	120
64	111
32	230
696	150
64	90
32	110
64	140
32	120
80	181
16	110
64	81
32	60
80	80
16	61
80	90
32	70
40	290
160	171
64	110
32	501
8	190
104	81
64	60
32	160
80	471
16	100
72	111
72	111
16	70
40	160
72	150
192	181
56	461
16	110
9	80
10	90
32	70
13312	1363
48	14788
820	3677
148	801
20	821
8	1643
96	15499
192	872
384	421
96	130
192	91
384	70
96	90
192	100
384	50
96	70
192	100
384	110
96	70
192	90
384	70
96	90
192	100
384	50
96	71
192	90
384	100
96	70
192	80
384	70
96	291
192	360
96	60
192	80
96	50
192	70
384	80
96	60
192	91
384	70
96	60
192	71
384	80
96	80
192	91
384	90
96	552
192	320
96	110
192	91
96	120
192	80
384	80
96	60
192	110
384	50
96	60
192	111
384	80
96	50
192	80
384	80
9	90
9	881
9	241
18	391
36	190
9	50
18	80
9	50
18	80
9	60
18	100
36	60
50	561
16	90
96	110
10	150
22	371
48	111
16	852
10	90
24	71
8	80
15	100
10	70
10	70
20	101
17	60
34	90
29	70
58	561
8	111
16	90
32	70
19	50
38	60
21	70
16	290
256	490
48	180
3	201
36	80
544	631
5	331
29	90
8	401
8	261
6	121
8	70
8	150
8	80
16	310
10	90
10	401
10	100
288	521
544	1623
3	872
36	120
5	81
29	101
10	80
96	271
8	70
96	361
8	90
16	141
5	101
3	90
5	101
3	70
8	70
16	100
3	60
5	130
8	141
16	180
32	80
3	60
544	100
8	70
7	121
8	91
384	250
29	120
5	90
29	231
3	80
544	440
3	360
36	551
5	40
29	451
3	40
29	481
8	151
30	70
60	250
8	70
8	60
16	80
32	70
13	70
3	90
13	100
3	110
8	90
16	80
9	81
8	60
384	120
8	90
8	100
8	61
16	270
32	90
64	270
29	80
13	110
29	100
3	80
544	81
3	481
36	71
5	110
29	80
3	70
29	100
8	80
30	80
60	260
8	111
8	90
16	70
5	100
3	80
5	80
3	90
29	130
8	90
8	50
16	90
11	101
11	100
11	120
544	291
3	100
36	130
5	120
29	80
11	90
8	310
16	130
32	130
48	271
10	80
11	70
192	441
8	121
16	100
11	90
11	121
8	80
8	692
3	3577
3	601
3	190
544	421
3	261
36	531
5	1022
29	230
8	61
8	60
16	50
48	80
10	80
3	90
8	110
3	120
3	220
8	50
8	50
3	110
3	60
3	60
544	340
3	200
36	100
5	381
29	120
8	100
8	71
16	120
32	190
48	360
10	130
3	80
8	60
3	90
3	682
8	90
8	61
3	90
3	90
8	60
6	100
8	60
384	100
3	100
544	110
3	130
36	80
5	90
29	130
8	80
8	71
48	571
10	80
3	60
8	90
3	91
3	581
8	110
8	80
3	100
3	111
3	111
544	111
3	80
36	131
5	90
29	70
8	70
8	90
48	150
10	90
3	120
384	100
8	110
3	120
3	581
8	91
8	120
5	101
5	110
8	91
6	130
8	80
384	862
5	110
544	120
3	250
36	110
5	100
29	60
8	90
8	90
8	70
4	60
4	60
8	50
4	60
8	40
384	50
8	80
4	50
8	40
4	430
544	80
3	50
36	70
5	40
29	60
8	50
8	80
192	100
8	40
6	70
6	50
6	60
544	50
3	60
36	40
5	70
29	50
8	50
8	60
96	70
10	40
5	40
4	50
6	50
8	341
6	70
6	50
8	90
8	70
4	70
4	40
8	80
8	61
4	70
